zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,perc_white_change,med_age_change,perc_employed_change
61275.0,2012,76458.0,195300.0,686.0,4418.0,43.2,2239.0,0.31371921969939237,0.0,0.0,0.0,0.0,0.0,0.0
61283.0,2012,50758.0,100500.0,625.0,1974.0,26.2,750.0,0.45164410058027077,0.0,0.0,0.0,0.0,0.0,0.0
61329.0,2012,50750.0,99100.0,779.0,1382.0,40.3,699.0,0.29435897435897435,0.0,0.0,0.0,0.0,0.0,0.0
61334.0,2012,56250.0,100000.0,744.0,607.0,33.0,301.0,0.3544600938967136,0.0,0.0,0.0,0.0,0.0,0.0
61344.0,2012,39583.0,59200.0,545.0,309.0,41.4,132.0,0.47085201793721976,0.0,0.0,0.0,0.0,0.0,0.0
61359.0,2012,40938.0,85000.0,500.0,276.0,41.6,167.0,0.3005181347150259,0.0,0.0,0.0,0.0,0.0,0.0
61363.0,2012,49464.0,90000.0,675.0,240.0,36.3,134.0,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0
61373.0,2012,60543.0,179100.0,694.0,1777.0,46.5,1088.0,0.3254847645429363,0.0,0.0,0.0,0.0,0.0,0.0
61401.0,2012,36163.0,76900.0,597.0,29087.0,40.4,13815.0,0.3077179947405769,0.0,0.0,0.0,0.0,0.0,0.0
61426.0,2012,60250.0,57100.0,597.0,113.0,57.2,54.0,0.4177215189873418,0.0,0.0,0.0,0.0,0.0,0.0
61063.0,2012,55357.0,139800.0,630.0,3891.0,41.3,1983.0,0.35418953530918407,0.0,0.0,0.0,0.0,0.0,0.0
61025.0,2012,55631.0,144000.0,607.0,4681.0,44.2,2587.0,0.41595873786407767,0.0,0.0,0.0,0.0,0.0,0.0
61049.0,2012,59000.0,171900.0,913.0,582.0,44.5,344.0,0.35083532219570407,0.0,0.0,0.0,0.0,0.0,0.0
61053.0,2012,45861.0,113300.0,593.0,3055.0,44.1,1449.0,0.33777185974256546,0.0,0.0,0.0,0.0,0.0,0.0
61065.0,2012,65972.0,163400.0,1028.0,10084.0,37.0,5164.0,0.3692551505546751,0.0,0.0,0.0,0.0,0.0,0.0
61080.0,2012,54729.0,132900.0,666.0,10155.0,37.8,4861.0,0.33093118553059203,0.0,0.0,0.0,0.0,0.0,0.0
61107.0,2012,56348.0,136000.0,820.0,25802.0,41.9,14758.0,0.2277518888838619,0.0,0.0,0.0,0.0,0.0,0.0
61257.0,2012,48466.0,132000.0,758.0,975.0,48.1,499.0,0.3515815085158151,0.0,0.0,0.0,0.0,0.0,0.0
61262.0,2012,68300.0,154500.0,439.0,1400.0,48.1,714.0,0.28557013118062563,0.0,0.0,0.0,0.0,0.0,0.0
61279.0,2012,57708.0,130300.0,739.0,1113.0,41.6,586.0,0.384297520661157,0.0,0.0,0.0,0.0,0.0,0.0
61284.0,2012,67321.0,181200.0,344.0,2345.0,51.6,1236.0,0.32009080590238365,0.0,0.0,0.0,0.0,0.0,0.0
61285.0,2012,43333.0,107700.0,638.0,1606.0,44.7,726.0,0.37431480031323416,0.0,0.0,0.0,0.0,0.0,0.0
61313.0,2012,53571.0,99000.0,638.0,200.0,48.7,93.0,0.3717948717948718,0.0,0.0,0.0,0.0,0.0,0.0
61314.0,2012,53875.0,60000.0,492.0,833.0,42.4,458.0,0.39436619718309857,0.0,0.0,0.0,0.0,0.0,0.0
61328.0,2012,53875.0,60000.0,492.0,13.0,35.9,13.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0
61336.0,2012,43681.0,160900.0,668.0,839.0,30.9,324.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
61428.0,2012,62121.0,173500.0,668.0,808.0,54.5,413.0,0.23121387283236994,0.0,0.0,0.0,0.0,0.0,0.0
61438.0,2012,61417.0,94600.0,598.0,798.0,46.0,449.0,0.22833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
61451.0,2012,47500.0,70700.0,598.0,422.0,44.9,250.0,0.3738019169329074,0.0,0.0,0.0,0.0,0.0,0.0
61471.0,2012,56250.0,51800.0,1325.0,122.0,50.9,91.0,0.5360824742268041,0.0,0.0,0.0,0.0,0.0,0.0
61473.0,2012,43298.0,77400.0,555.0,1468.0,51.2,747.0,0.28187919463087246,0.0,0.0,0.0,0.0,0.0,0.0
61501.0,2012,42647.0,60800.0,530.0,2020.0,40.7,820.0,0.3669985775248933,0.0,0.0,0.0,0.0,0.0,0.0
61529.0,2012,65430.0,121000.0,654.0,2947.0,40.7,1454.0,0.294921875,0.0,0.0,0.0,0.0,0.0,0.0
61537.0,2012,46125.0,87700.0,522.0,2955.0,43.4,1439.0,0.38653846153846155,0.0,0.0,0.0,0.0,0.0,0.0
61546.0,2012,58472.0,115700.0,615.0,4580.0,40.4,2046.0,0.32711167352103765,0.0,0.0,0.0,0.0,0.0,0.0
61548.0,2012,83556.0,199400.0,807.0,11525.0,39.1,5955.0,0.22173520690988785,0.0,0.0,0.0,0.0,0.0,0.0
61552.0,2012,41635.0,108800.0,1528.0,195.0,36.8,61.0,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,0.0
