Zip,year,med_rent,perc_under_18,percent_over_65unemp_rate,perc_over_65,unemp_rate,eviction_rate
60611.0,2012,1556.0,32.0979020979021,,40.3962703962704,0.0751002551950419,0.697928792879288
60616.0,2012,879.0,205.0,,21.33333333333333,0.1319158091003621,1.83018301830183
60651.0,2012,933.0,589.1746031746031,,16.317460317460316,0.2062613733427415,2.68456245624562
60604.0,2012,1776.0,0.2281368821292775,,0.247148288973384,0.1265822784810126,1.519479
60612.0,2012,914.0,333.5973597359736,,3.993399339933993,0.1443062432073421,1.77034
60613.0,2012,1108.0,176.55172413793105,,22.13166144200627,0.05891542066503,0.883012
60617.0,2012,818.0,660.0560224089635,,40.02801120448179,0.1700448579498256,2.153366
60618.0,2012,987.0,666.9846153846154,,40.15384615384615,0.0828365666241687,0.767752
60624.0,2012,903.0,497.2161172161172,,12.747252747252746,0.2448789571694599,3.318488
60626.0,2012,845.0,302.7914110429448,,16.595092024539877,0.0859629309772138,2.46165833166633
60630.0,2012,963.0,340.0263157894737,,20.55263157894737,0.1169575822852979,1.16482896579316
60632.0,2012,818.0,1021.122807017544,,20.98245614035088,0.1593755082127175,1.58943088617724
60645.0,2012,985.0,352.3229461756374,,25.694050991501417,0.0818777793059184,2.212133
60653.0,2012,690.0,250.00000000000003,,11.98250728862974,0.2308894475776313,2.312658
60654.0,2012,1764.0,23.58662613981763,,5.987841945288754,0.078514859916546,1.088006
60657.0,2012,1172.0,225.82236842105263,,27.039473684210527,0.0469029996104402,0.459518
60659.0,2012,983.0,297.8323699421965,,21.06936416184971,0.0936822393061305,1.54873
60707.0,2012,875.0,236.04712041884812,,20.209424083769637,0.1120150187734668,1.88494098819764
60614.0,2012,1278.0,305.5481727574751,,39.76744186046511,0.0499660020618104,0.394289142171566
60615.0,2012,925.0,227.54437869822488,,33.4319526627219,0.1515556744227512,2.05959195919592
60619.0,2012,831.0,411.1928934010152,,27.868020304568528,0.2248004153955993,3.5315298470153
60621.0,2012,827.0,320.9810126582278,,12.088607594936708,0.2759360839494396,3.683419
60636.0,2012,874.0,352.7102803738318,,14.39252336448598,0.3450201675457648,2.83704629537046
60639.0,2012,918.0,877.9344262295082,,29.540983606557376,0.1477998060310801,1.850129
60643.0,2012,913.0,278.80281690140845,,26.12676056338028,0.1536323436512949,2.34222422242224
60647.0,2012,972.0,567.579617834395,,31.719745222929937,0.085627737367111,0.879366063393661
60603.0,2012,1923.0,0.1845018450184501,,0.6642066420664207,0.0440097799511002,1.505256
60607.0,2012,1412.0,91.52103559870552,,9.029126213592232,0.0973969361066134,1.413919
60609.0,2012,784.0,679.3127147766322,,13.505154639175258,0.2080833704706729,1.83173969587835
60625.0,2012,944.0,518.048780487805,,35.518292682926834,0.0922887264070736,0.893512
60646.0,2012,896.0,141.7401392111369,,14.988399071925754,0.0874562018220042,2.18133086691331
60652.0,2012,1107.0,335.3025936599423,,12.65129682997118,0.1123459660544059,2.428277
60601.0,2012,1726.0,10.202898550724637,,7.6521739130434785,0.0466800184871359,0.519465
60608.0,2012,774.0,581.9741100323624,,16.472491909385113,0.1600755667506297,1.10468846884688
60620.0,2012,891.0,522.7925531914893,,31.356382978723403,0.2605789260952026,3.00817881788179
60634.0,2012,939.0,396.6838046272493,,30.79691516709512,0.1091541423425661,1.457909
60637.0,2012,857.0,388.1703470031546,,20.757097791798103,0.2274544855812202,3.07577984403119
60644.0,2012,849.0,403.3538461538462,,14.892307692307693,0.2631175207118748,4.272949
60605.0,2012,1605.0,57.02064896755162,,12.949852507374631,0.0437439691219041,1.55302630263026
60606.0,2012,1846.0,5.080906148867314,,0.3559870550161812,0.020738492665655,1.187745
60623.0,2012,779.0,1020.2564102564104,,21.538461538461537,0.169446858616726,1.75780221977802
60629.0,2012,875.0,1256.4604810996564,,23.91752577319588,0.1454618232762934,2.42261952390478
60633.0,2012,905.0,100.29729729729728,,4.081081081081081,0.1351670604117448,1.963801
60638.0,2012,894.0,354.8655913978494,,24.838709677419352,0.0986225138263886,1.25742574257426
60640.0,2012,844.0,226.4402173913044,,24.157608695652176,0.0852199655431802,1.11677303190957
60649.0,2012,815.0,265.1436031331593,,16.344647519582246,0.1830564487316899,5.05453254674533
60655.0,2012,967.0,194.48548812664907,,9.973614775725594,0.083954004965373,1.69756724327567
60661.0,2012,1513.0,12.168284789644014,,0.906148867313916,0.0466633216256898,0.722518
60827.0,2012,819.0,267.55555555555554,,11.46031746031746,0.2309593349809031,4.46042804280428
60631.0,2012,1073.0,132.0,,10.689655172413794,0.0729485260623413,1.27602360236024
60642.0,2012,1123.0,57.73584905660377,,5.534591194968553,0.0839482720829984,0.643910608939106
60656.0,2012,1032.0,128.91089108910893,,16.46039603960396,0.0841759515682359,1.465883
60628.0,2012,950.0,514.4204851752021,,33.15363881401617,0.2053547523427041,2.70637408777367
60641.0,2012,888.0,487.0254957507083,,30.424929178470254,0.1342740438173041,1.52350164983502
60610.0,2012,1217.0,110.8092485549133,,52.94797687861272,0.0622206113326084,0.945804
60622.0,2012,1110.0,302.1935483870968,,13.258064516129032,0.0594202495761652,0.617812781278128
60660.0,2012,825.0,144.91573033707866,,20.337078651685392,0.105363000434731,1.99283528352835
60602.0,2012,1792.0,5.389408099688473,,0.1557632398753894,0.0275862068965517,0.641695
60610.0,2016,1398.0,105.71847507331378,,49.94134897360704,0.0501819871447378,0.509559
60622.0,2016,1264.0,295.37735849056605,,11.729559748427672,0.051704131473136,0.206783678367837
60660.0,2016,917.0,135.3099730458221,,23.342318059299192,0.0711208615875548,0.654263426342634
