zip code tabulation area,year,med_income,med_home_val,med_rent,perc_white,med_age,perc_employed,perc_hs_grad,med_income_change,med_home_val_change,med_rent_change,med_age_change,perc_white_change,perc_hs_grad_change,perc_employed_change
60707,2012,56403,246200,875,0.722004717,38.2,0.887984981,0.286523908,0,0,0,0,0,0,0
60714,2012,45464,291900,992,0.752165335,48.5,0.92154448,0.27815952,0,0,0,0,0,0,0
60804,2012,45656,171000,830,0.367761308,28,0.865577795,0.314840829,0,0,0,0,0,0,0
60056,2012,68089,314000,964,0.747429877,39.3,0.926123913,0.225964657,0,0,0,0,0,0,0
60193,2012,73043,265900,1153,0.788530194,41.3,0.924420098,0.227144006,0,0,0,0,0,0,0
60452,2012,68595,210300,955,0.871246783,35.3,0.889016897,0.267704755,0,0,0,0,0,0,0
60453,2012,57240,213200,931,0.895414562,40.9,0.895528497,0.294404951,0,0,0,0,0,0,0
60464,2012,79933,393200,1854,0.925521969,52.6,0.885934066,0.200299564,0,0,0,0,0,0,0
60458,2012,46712,190200,887,0.707365864,32.1,0.874746656,0.343600578,0,0,0,0,0,0,0
60459,2012,56766,210900,1010,0.837880776,36.8,0.895813511,0.351026941,0,0,0,0,0,0,0
60465,2012,55221,218400,945,0.885830377,42.3,0.892080253,0.279109857,0,0,0,0,0,0,0
60469,2012,49400,152900,927,0.544435146,31,0.858208955,0.283402001,0,0,0,0,0,0,0
60614,2012,86763,512400,1278,0.868547535,30.1,0.950033998,0.035775721,0,0,0,0,0,0,0
60615,2012,39133,237600,925,0.269138006,33.8,0.848444326,0.126147761,0,0,0,0,0,0,0
60619,2012,34773,162900,831,0.007516527,39.4,0.775199585,0.21695232,0,0,0,0,0,0,0
60621,2012,19623,120400,827,0.011040734,31.6,0.724063916,0.26781228,0,0,0,0,0,0,0
60636,2012,26218,112100,874,0.028127184,32.1,0.654979832,0.30189479,0,0,0,0,0,0,0
60639,2012,38997,236700,918,0.302722475,30.5,0.852200194,0.278593596,0,0,0,0,0,0,0
60643,2012,61851,189200,913,0.248104009,42.6,0.846367656,0.200850689,0,0,0,0,0,0,0
60647,2012,51066,354700,972,0.769570251,31.4,0.914372263,0.208366127,0,0,0,0,0,0,0
60004,2012,81039,351200,1141,0.875871098,42.3,0.943403161,0.178607839,0,0,0,0,0,0,0
60043,2012,229792,1000001,2001,0.979393031,40.7,0.971544715,0.020592021,0,0,0,0,0,0,0
60093,2012,156394,860900,1239,0.922524129,44.1,0.954573134,0.05797456,0,0,0,0,0,0,0
60130,2012,50700,224300,945,0.5214175,39,0.886070215,0.198799137,0,0,0,0,0,0,0
60195,2012,70500,272000,1185,0.580089644,29.9,0.931262393,0.123757904,0,0,0,0,0,0,0
60163,2012,62644,186800,958,0.501445365,39.5,0.852880658,0.23182207,0,0,0,0,0,0,0
60171,2012,47646,205700,837,0.849682772,35.8,0.884028135,0.261325503,0,0,0,0,0,0,0
60194,2012,74347,232300,1282,0.67128526,36.7,0.928800624,0.237892042,0,0,0,0,0,0,0
60305,2012,121250,583300,997,0.844639341,41.3,0.94269557,0.058691421,0,0,0,0,0,0,0
