,Zipcode,College_12,College_16,College_20,Income_12,Income_16,Income_20,PCTW_12,PCTW_16,PCTW_20,2016 Eligible,2016 Gentrified,2020 Eligible,2020 Gentrified,College_Diff16,College_Diff20,W_Diff16,W_Diff20
1,60601.0,80.7682458386684,76.821608040201,83.4512976070104,95443.0452317043,116938.033840591,115535.591683489,66.0198141150036,66.3672873311427,59.3536829049817,0,0,0,0,-3.946637798467407,2.683051768341997,0.3474732161391074,-6.666131210021895
2,60602.0,83.3910034602076,88.249694002448,93.1850789096126,96789.2144901174,96171.3450719847,238476.000399299,61.2708018154312,72.2044728434505,49.749373433584,0,0,0,0,4.858690542240396,9.794075449405,10.933671028019305,-11.521428381847201
3,60603.0,82.7683615819209,96.1538461538461,95.2434881087203,126750.656225737,158382.356529648,147680.0436456,62.9213483146067,55.4907677356657,58.3473861720067,0,0,0,0,13.385484571925204,12.4751265267994,-7.430580578941004,-4.573962142600003
4,60604.0,82.5192802056555,87.0103092783505,91.4634146341464,125481.444752546,169232.393409348,61715.2399343375,82.0093457943925,58.3198707592892,69.5473251028807,0,0,1,0,4.4910290726949995,8.944134428490898,-23.6894750351033,-12.462020691511796
5,60605.0,73.6237600788909,78.4437541375974,78.3671304418785,84490.1764457952,112417.654839282,115081.353690188,55.791497356578,56.3385043007926,57.2019386106624,0,0,0,0,4.819994058706499,4.743370362987605,0.5470069442146013,1.4104412540844038
6,60606.0,89.5144628099173,94.1773102930128,94.1618299761011,120660.3354999,135242.750604494,128558.837352204,78.1992496873697,73.6964463633345,57.2721598002497,0,0,0,0,4.66284748309549,4.647367166183798,-4.502803324035199,-20.927089887119998
7,60607.0,70.8116939954485,77.0904325032765,78.757225433526,95310.4410479381,97482.3677100202,108735.72269793,53.5197923960951,52.9372379039363,53.0192041179964,0,0,0,0,6.27873850782801,7.945531438077509,-0.5825544921587991,-0.5005882780986965
8,60608.0,17.8693550288881,23.6675840148843,31.1793734801888,42152.7388806318,42356.2894252313,60266.1048048981,15.493133116681,17.4339071626191,20.6559098124008,1,0,1,1,5.7982289859962,13.3100184513007,1.9407740459381007,5.162776695719801
9,60609.0,10.7388172223153,11.8240730904069,16.1309355840025,41398.5525854611,36885.6162847446,42498.127243284,16.7304771547905,14.9510040160643,15.3936351175043,1,0,1,0,1.0852558680916005,5.392118361687201,-1.7794731387261997,-1.3368420372861998
10,60610.0,71.3450096931613,72.1286666452008,77.4432320849307,85228.9711839216,86906.2590341401,101169.65644757,68.8796242545781,70.8101358031115,67.7174390779899,0,0,0,0,0.7836569520394931,6.098222391769397,1.9305115485334028,-1.1621851765882099
11,60611.0,80.3958979251133,83.0912749222609,86.6869705243996,103116.328401251,104323.809146166,114258.244936667,75.2325501274719,72.7560751512847,68.5417096384477,0,0,0,0,2.6953769971475907,6.291072599286295,-2.476474976187191,-6.690840489024197
12,60612.0,32.5981412123734,32.2971027532841,37.3105201052918,41580.8833381397,41863.6695689789,46939.3311963442,19.6127473021583,19.4353047048567,23.6786600496278,1,0,1,0,-0.30103845908929827,4.712378892918402,-0.1774425973015994,4.0659127474695005
13,60613.0,71.5368285276651,73.6027130763973,75.2834002917168,77097.4932008252,83204.2828146143,89016.9457729763,74.5797849637203,73.1133504311476,71.9449794743088,1,0,1,0,2.0658845487321997,3.7465717640517084,-1.4664345325727055,-2.634805489411505
14,60614.0,82.6107784431138,83.0944445580387,85.8830711064726,102724.435679585,106685.453537124,123572.758590474,81.697245658676,79.483506882278,80.0997361550469,0,0,0,0,0.4836661149249011,3.2722926633587974,-2.213738776398003,-1.597509503629098
15,60615.0,51.564486509394,56.4378465129851,62.1477663230241,46332.1386011225,45752.773697287,47065.8011712771,24.2583570498288,25.5259954790471,28.51352007379,1,0,1,1,4.873360003591095,10.5832798136301,1.2676384292183016,4.255163023961202
16,60616.0,36.9900034871556,39.3154072826773,48.7150425033879,49984.6734843275,48220.3820847845,65177.3554981255,23.5661509572601,22.8642069227843,27.3569648191487,1,0,1,1,2.3254037955217015,11.725039016232301,-0.7019440344757975,3.7908138618886014
17,60617.0,16.22621171573,15.789166472099,19.2339591344341,45969.8450276182,41995.5609263737,45995.0220501786,7.53870078461865,7.26481837954051,5.88299777103811,1,0,1,0,-0.4370452436309993,3.0077474187041027,-0.27388240507813943,-1.6557030135805393
18,60618.0,37.7460893356331,42.7117678796235,51.051959998813,67409.1000244016,70006.1288626633,90049.783901595,43.5675486964647,46.2836707378283,47.9365213532532,1,0,1,1,4.9656785439904,13.305870663179896,2.7161220413636045,4.3689726567885
19,60619.0,22.5521925426201,22.018587889421,26.6902695294655,41170.0471616495,36099.9045231704,42959.7426517891,0.680713617291031,1.16997230269651,0.998826826565861,1,0,1,0,-0.5336046531991023,4.138076986845398,0.4892586854054791,0.31811320927483
20,60620.0,13.4843719915281,16.4838655035149,18.2573511911202,39427.2493178642,36524.887785887,41628.6461656204,0.580510472085662,0.877357537626806,1.159087273309,1,0,1,0,2.999493511986799,4.7729791995921005,0.29684706554114404,0.5785768012233381
21,60621.0,6.05466787257562,7.77057783966154,9.71057769610658,23232.9633754076,22714.6226624371,24260.1029415027,0.778662327851706,1.22040595226715,1.4549670855775,1,0,1,0,1.7159099670859197,3.6559098235309593,0.441743624415444,0.6763047577257941
22,60622.0,59.4738561270384,64.5876238109248,71.6856105268123,79909.4122762262,89150.6666629695,111850.045830653,57.6450362133294,60.3833513870784,64.4428498593198,0,0,0,0,5.113767683886394,12.211754399773895,2.738315173749001,6.797813645990395
